top_contributions,original_top_values,predicted_top_values,loss,label
"{""Protocol"": {""ECE Flag Cnt"": 0.006462553034251997, ""RST Flag Cnt"": 0.006456951718774062, ""Init Bwd Win Byts"": 0.003367198312292625, ""Reconstruction Error"": 0.003279671291011523}, ""Fwd Seg Size Min"": {""SYN Flag Cnt"": 0.000967880478099677, ""Fwd PSH Flags"": 0.0009678776883909106, ""Bwd Pkts/s"": 0.00016916635426950628, ""Reconstruction Error"": 6.945190899600509e-06}}","{""Protocol"": 1.0, ""Fwd Seg Size Min"": 0.16666666666666669}","{""Protocol"": 0.026436806, ""Fwd Seg Size Min"": 0.040168762}",6.217166252260382,DDOS attack-LOIC-UDP
"{""Protocol"": {""SYN Flag Cnt"": 0.0008077275240025004, ""Fwd PSH Flags"": 0.0008077258951846339, ""Flow Pkts/s"": 0.0001915783347851537, ""Reconstruction Error"": 0.00327993071936755}}","{""Protocol"": 1.0}","{""Protocol"": 0.026398182}",9.083699305202016,DDOS attack-LOIC-UDP
"{""Fwd Seg Size Min"": {""SYN Flag Cnt"": 0.0008358485281702854, ""Fwd PSH Flags"": 0.0008358463082449802, ""Bwd Pkts/s"": 0.0001777671518208968, ""Reconstruction Error"": 6.939223124190864e-06}, ""Fwd Act Data Pkts"": {""URG Flag Cnt"": 0.00026116186072964315, ""Reconstruction Error"": 2.4888527170698246e-06}}","{""Fwd Seg Size Min"": 0.16666666666666669, ""Fwd Act Data Pkts"": 17.669648338156627}","{""Fwd Seg Size Min"": 0.040224075, ""Fwd Act Data Pkts"": -0.31983638}",4.97901442826934,DDOS attack-LOIC-UDP
"{""Protocol"": {""Fwd PSH Flags"": 0.0020114889520042867, ""SYN Flag Cnt"": 0.002011487308944379, ""Bwd Pkts/s"": 0.00030801126738028877, ""Reconstruction Error"": 0.003279609848956315}, ""Fwd Seg Size Min"": {""PSH Flag Cnt"": 0.00013774216057382827, ""Reconstruction Error"": 6.942206691263277e-06}}","{""Protocol"": 1.0, ""Fwd Seg Size Min"": 0.16666666666666669}","{""Protocol"": 0.026446342, ""Fwd Seg Size Min"": 0.040195465}",5.514733470411024,DDOS attack-LOIC-UDP
"{""Fwd Act Data Pkts"": {""SYN Flag Cnt"": 0.00029094048780855603, ""Fwd PSH Flags"": 0.0002909359170625854, ""Bwd Pkts/s"": 9.245715150860716e-05, ""Reconstruction Error"": 4.093852118905739e-06}}","{""Fwd Act Data Pkts"": 22.752170481452254}","{""Fwd Act Data Pkts"": -0.31982732}",8.245369409560672,DDOS attack-LOIC-UDP
"{""Protocol"": {""ECE Flag Cnt"": 0.002824648716002364, ""RST Flag Cnt"": 0.0028240156400121067, ""PSH Flag Cnt"": 0.0003729443823705487, ""Reconstruction Error"": 0.0032794460062895085}}","{""Protocol"": 1.0}","{""Protocol"": 0.026470184}",4.095320945069403,DDOS attack-LOIC-UDP
"{""Fwd Act Data Pkts"": {""URG Flag Cnt"": 0.0006368264789221917, ""FIN Flag Cnt"": 0.0004305660097603098, ""Fwd Seg Size Min"": 0.00029132434292773745, ""Reconstruction Error"": 2.1113619781204237e-06}}","{""Fwd Act Data Pkts"": 16.249320354292735}","{""Fwd Act Data Pkts"": -0.319839}",4.213065448232096,DDOS attack-LOIC-UDP
"{""Protocol"": {""Fwd Seg Size Min"": 0.0003734867469551653, ""Bwd IAT Tot"": 0.0003566455631879156, ""Pkt Len Min"": 0.00012316170250345699, ""Reconstruction Error"": 0.003279350433290582}}","{""Protocol"": 1.0}","{""Protocol"": 0.026484013}",3.318888423996228,DDOS attack-LOIC-UDP
"{""Protocol"": {""ECE Flag Cnt"": 0.004411357852691568, ""RST Flag Cnt"": 0.0044088968693741576, ""PSH Flag Cnt"": 0.0006376612103343051, ""Reconstruction Error"": 0.003279493793311221}}","{""Protocol"": 1.0}","{""Protocol"": 0.026463032}",4.483588164431939,DDOS attack-LOIC-UDP
"{""Protocol"": {""RST Flag Cnt"": 0.004242927786843217, ""ECE Flag Cnt"": 0.0042428012547212875, ""PSH Flag Cnt"": 0.0007350572310012421, ""Reconstruction Error"": 0.003279705425735329}, ""Fwd Seg Size Min"": {""ACK Flag Cnt"": 3.359847822470563e-05, ""Reconstruction Error"": 6.946761793139216e-06}}","{""Protocol"": 1.0, ""Fwd Seg Size Min"": 0.16666666666666669}","{""Protocol"": 0.02643156, ""Fwd Seg Size Min"": 0.04015541}",6.517804248918971,DDOS attack-LOIC-UDP
"{""Protocol"": {""PSH Flag Cnt"": 7.759041896970853e-05, ""Reconstruction Error"": 0.003279411872915734}}","{""Protocol"": 1.0}","{""Protocol"": 0.026474953}",3.8234851448257383,DDOS attack-LOIC-UDP
"{""Fwd Seg Size Min"": {""FIN Flag Cnt"": 0.00029606393171639176, ""Reconstruction Error"": 6.931217772846081e-06}}","{""Fwd Seg Size Min"": 0.16666666666666669}","{""Fwd Seg Size Min"": 0.040296555}",3.509195843512564,DDOS attack-LOIC-UDP
"{""Protocol"": {""Fwd PSH Flags"": 0.0005788252605003976, ""SYN Flag Cnt"": 0.0005788246608517227, ""Flow Pkts/s"": 0.00013522857888232, ""Reconstruction Error"": 0.003279486966572517}}","{""Protocol"": 1.0}","{""Protocol"": 0.026463985}",4.4298487201585655,DDOS attack-LOIC-UDP
"{""Fwd Seg Size Min"": {""SYN Flag Cnt"": 0.0010739858120874407, ""Fwd PSH Flags"": 0.0010739830355461421, ""Bwd Pkts/s"": 0.00015798160585436078, ""Reconstruction Error"": 6.951632691983976e-06}, ""Fwd Act Data Pkts"": {""SYN Flag Cnt"": 0.0009443906700631628, ""Fwd PSH Flags"": 0.0009443886432498442, ""Bwd Pkts/s"": 0.00017444880499274592, ""Reconstruction Error"": 3.7692983413383353e-06}}","{""Fwd Seg Size Min"": 0.16666666666666669, ""Fwd Act Data Pkts"": 21.81873191265457}","{""Fwd Seg Size Min"": 0.04011154, ""Fwd Act Data Pkts"": -0.31982875}",7.583906847855945,DDOS attack-LOIC-UDP
"{""Fwd Act Data Pkts"": {""Init Bwd Win Byts"": 0.0014674504909527042, ""ECE Flag Cnt"": 0.001403011671256512, ""RST Flag Cnt"": 0.0013951975728562205, ""Reconstruction Error"": 2.198376315293796e-06}}","{""Fwd Act Data Pkts"": 16.58730158730159}","{""Fwd Act Data Pkts"": -0.31983817}",4.389514645065432,DDOS attack-LOIC-UDP
"{""Fwd Seg Size Min"": {""ECE Flag Cnt"": 0.0029472959890008326, ""RST Flag Cnt"": 0.0029426466452415626, ""Init Bwd Win Byts"": 0.0011737408691741436, ""Reconstruction Error"": 6.9288641370413095e-06}}","{""Fwd Seg Size Min"": 0.16666666666666669}","{""Fwd Seg Size Min"": 0.040317535}",3.182763558824303,DDOS attack-LOIC-UDP
"{""Protocol"": {""ECE Flag Cnt"": 0.0012990603791763478, ""RST Flag Cnt"": 0.0012919824557992843, ""SYN Flag Cnt"": 0.0012444985751310558, ""Reconstruction Error"": 0.003279357259887177}}","{""Protocol"": 1.0}","{""Protocol"": 0.026483536}",3.370339318313409,DDOS attack-LOIC-UDP
"{""Protocol"": {""ECE Flag Cnt"": 0.004411357852691568, ""RST Flag Cnt"": 0.0044088968693741576, ""PSH Flag Cnt"": 0.0006376612103343051, ""Reconstruction Error"": 0.003279493793311221}}","{""Protocol"": 1.0}","{""Protocol"": 0.026463032}",4.483588164431939,DDOS attack-LOIC-UDP
"{""Protocol"": {""Bwd Pkt Len Std"": 3.887229485082978e-05, ""Reconstruction Error"": 0.0032793811530312154}, ""Fwd Seg Size Min"": {""ECE Flag Cnt"": 0.0024539148800444503, ""RST Flag Cnt"": 0.002448281037843125, ""FIN Flag Cnt"": 0.0006113085699938241, ""Reconstruction Error"": 6.931217772846081e-06}}","{""Protocol"": 1.0, ""Fwd Seg Size Min"": 0.16666666666666669}","{""Protocol"": 0.026479721, ""Fwd Seg Size Min"": 0.040296555}",3.529066868873411,DDOS attack-LOIC-UDP
"{""Protocol"": {""PSH Flag Cnt"": 7.759041896970853e-05, ""Reconstruction Error"": 0.003279411872915734}}","{""Protocol"": 1.0}","{""Protocol"": 0.026474953}",3.8234851448257383,DDOS attack-LOIC-UDP
"{""Fwd Act Data Pkts"": {""URG Flag Cnt"": 0.0006368264789221917, ""FIN Flag Cnt"": 0.0004305660097603098, ""Fwd Seg Size Min"": 0.00029132434292773745, ""Reconstruction Error"": 2.1113619781204237e-06}}","{""Fwd Act Data Pkts"": 16.249320354292735}","{""Fwd Act Data Pkts"": -0.319839}",4.213065448232096,DDOS attack-LOIC-UDP
"{""Fwd Seg Size Min"": {""URG Flag Cnt"": 0.000659028399831896, ""FIN Flag Cnt"": 0.0006131424790394264, ""Protocol"": 0.0004049259262757232, ""Reconstruction Error"": 6.924942298878444e-06}}","{""Fwd Seg Size Min"": 0.16666666666666669}","{""Fwd Seg Size Min"": 0.040353775}",2.588901013498236,DDOS attack-LOIC-UDP
"{""Fwd Act Data Pkts"": {""Init Bwd Win Byts"": 0.0014674504909527042, ""ECE Flag Cnt"": 0.001403011671256512, ""RST Flag Cnt"": 0.0013951975728562205, ""Reconstruction Error"": 2.198376315293796e-06}}","{""Fwd Act Data Pkts"": 16.58730158730159}","{""Fwd Act Data Pkts"": -0.31983817}",4.389514645065432,DDOS attack-LOIC-UDP
"{""Protocol"": {""ECE Flag Cnt"": 0.003156764717421026, ""RST Flag Cnt"": 0.003156627306737577, ""PSH Flag Cnt"": 0.0004579618858116134, ""Reconstruction Error"": 0.003279265101432662}, ""Fwd Seg Size Min"": {""ECE Flag Cnt"": 0.0008432961153981011, ""RST Flag Cnt"": 0.000834424883062429, ""Reconstruction Error"": 6.925726577693175e-06}}","{""Protocol"": 1.0, ""Fwd Seg Size Min"": 0.16666666666666669}","{""Protocol"": 0.026497364, ""Fwd Seg Size Min"": 0.040346146}",2.6836732560665526,DDOS attack-LOIC-UDP
"{""Fwd Seg Size Min"": {""Dst Port"": -6.1365334736529915e-06, ""Protocol"": -6.471845031133163e-06, ""Flow Duration"": 1.081944021667213e-06, ""Reconstruction Error"": 0.16656517221156894}, ""Protocol"": {""Bwd IAT Tot"": 0.000691652996330875, ""Active Mean"": 0.00014606809960622841, ""Active Min"": 0.00014374648065243405, ""Reconstruction Error"": 0.11035491703474745}, ""Init Bwd Win Byts"": {""Bwd Pkts/s"": 0.00022650305585606735, ""Flow Pkts/s"": 0.00016442396208368867, ""Dst Port"": 9.849956149640402e-06, ""Reconstruction Error"": 0.02741861092204166}}","{""Fwd Seg Size Min"": 0.4166666666666667, ""Protocol"": 0.3529411764705882, ""Init Bwd Win Byts"": 0.00335693359375}","{""Fwd Seg Size Min"": 20.006617, ""Protocol"": 6.000292, ""Init Bwd Win Byts"": 10851.825}",0.0116574751940172,DDOS attack-HOIC
"{""Fwd Seg Size Min"": {""Dst Port"": -1.806565278131368e-06, ""Protocol"": -1.0604373953260724e-06, ""Flow Duration"": -2.7112324841872543e-07, ""Reconstruction Error"": 0.16656517221156894}, ""Protocol"": {""Dst Port"": 8.271704240479029e-06, ""Protocol"": -7.240872830787967e-06, ""Flow Duration"": -1.3472863689799478e-06, ""Reconstruction Error"": 0.11035491703474745}, ""Init Bwd Win Byts"": {""PSH Flag Cnt"": 0.0025988520612914012, ""Protocol"": 0.001041977906401689, ""Bwd Pkt Len Min"": 0.0001539877244235478, ""Reconstruction Error"": 0.027418665205278095}}","{""Fwd Seg Size Min"": 0.4166666666666667, ""Protocol"": 0.3529411764705882, ""Init Bwd Win Byts"": 0.00335693359375}","{""Fwd Seg Size Min"": 20.006617, ""Protocol"": 6.000292, ""Init Bwd Win Byts"": 10851.836}",0.0116582591411687,DDOS attack-HOIC
"{""Fwd Seg Size Min"": {""FIN Flag Cnt"": 0.002252616817834515, ""SYN Flag Cnt"": 0.0015429428126082154, ""Fwd PSH Flags"": 0.001542940912667018, ""Reconstruction Error"": 0.16656517221156894}, ""Protocol"": {""Dst Port"": -7.98121929729459e-06, ""Protocol"": 6.428485502173977e-06, ""Flow Duration"": -2.161096202507562e-06, ""Reconstruction Error"": 0.11035491703474745}, ""Init Bwd Win Byts"": {""PSH Flag Cnt"": 0.002037937861738115, ""SYN Flag Cnt"": 0.0019802928692650643, ""Fwd PSH Flags"": 0.0019802907049966544, ""Reconstruction Error"": 0.02741861092204166}}","{""Fwd Seg Size Min"": 0.4166666666666667, ""Protocol"": 0.3529411764705882, ""Init Bwd Win Byts"": 0.00335693359375}","{""Fwd Seg Size Min"": 20.006617, ""Protocol"": 6.000292, ""Init Bwd Win Byts"": 10851.825}",0.011657779933579,DDOS attack-HOIC
"{""Fwd Seg Size Min"": {""Bwd Pkt Len Min"": 0.0002487528782820859, ""Dst Port"": -9.089267892551967e-06, ""Protocol"": 4.33189128382297e-06, ""Reconstruction Error"": 0.16656517221156894}, ""Protocol"": {""ECE Flag Cnt"": 0.022349165581024136, ""RST Flag Cnt"": 0.022330977179512254, ""Init Bwd Win Byts"": 0.007076245383516119, ""Reconstruction Error"": 0.11035491703474745}, ""Init Bwd Win Byts"": {""Dst Port"": -2.108583089282523e-06, ""Protocol"": -9.381198344511072e-06, ""Flow Duration"": -8.058459362487167e-06, ""Reconstruction Error"": 0.02741861092204166}}","{""Fwd Seg Size Min"": 0.4166666666666667, ""Protocol"": 0.3529411764705882, ""Init Bwd Win Byts"": 0.00335693359375}","{""Fwd Seg Size Min"": 20.006617, ""Protocol"": 6.000292, ""Init Bwd Win Byts"": 10851.825}",0.0116577836500663,DDOS attack-HOIC
"{""Fwd Seg Size Min"": {""Protocol"": 0.001423223121810221, ""Flow Pkts/s"": 0.0001227851457837319, ""Fwd Pkts/s"": 8.177178714333536e-05, ""Reconstruction Error"": 0.16656517221156894}, ""Protocol"": {""Active Mean"": 0.00014031275078427475, ""Active Min"": 0.00013775505678444822, ""Active Max"": 0.00012770719748680546, ""Reconstruction Error"": 0.11035491703474745}, ""Init Bwd Win Byts"": {""ECE Flag Cnt"": 0.01645083948827407, ""RST Flag Cnt"": 0.016428230965327934, ""Init Bwd Win Byts"": 0.00932830183807968, ""Reconstruction Error"": 0.027418586247861046}}","{""Fwd Seg Size Min"": 0.4166666666666667, ""Protocol"": 0.3529411764705882, ""Init Bwd Win Byts"": 0.00335693359375}","{""Fwd Seg Size Min"": 20.006617, ""Protocol"": 6.000292, ""Init Bwd Win Byts"": 10851.82}",0.0116573455669217,DDOS attack-HOIC
"{""Fwd Seg Size Min"": {""Down/Up Ratio"": 2.9550284222724715e-05, ""Dst Port"": 5.784971540155748e-06, ""Protocol"": 8.984811467988003e-06, ""Reconstruction Error"": 0.16656517221156894}, ""Protocol"": {""PSH Flag Cnt"": 0.006469709403995906, ""Fwd Seg Size Min"": 0.0030284960019258873, ""FIN Flag Cnt"": 0.0028691801611087507, ""Reconstruction Error"": 0.11035491703474745}, ""Init Bwd Win Byts"": {""Dst Port"": 6.211190481660468e-07, ""Protocol"": -1.363433569382771e-06, ""Flow Duration"": 8.435870122042421e-06, ""Reconstruction Error"": 0.02741859118269628}}","{""Fwd Seg Size Min"": 0.4166666666666667, ""Protocol"": 0.3529411764705882, ""Init Bwd Win Byts"": 0.00335693359375}","{""Fwd Seg Size Min"": 20.006617, ""Protocol"": 6.000292, ""Init Bwd Win Byts"": 10851.821}",0.011658049461666,DDOS attack-HOIC
"{""Fwd Seg Size Min"": {""PSH Flag Cnt"": 0.002745858668756429, ""Bwd Pkt Len Std"": 0.00019322378012369567, ""Pkt Len Std"": 0.0001602829209483631, ""Reconstruction Error"": 0.16656517221156894}, ""Protocol"": {""Bwd Pkts/s"": 0.00021988874874834109, ""Flow Pkts/s"": 0.0001672455207223089, ""Dst Port"": -1.4421956048824627e-06, ""Reconstruction Error"": 0.11035491703474745}, ""Init Bwd Win Byts"": {""Bwd IAT Std"": 0.00028563964185593024, ""Protocol"": -6.055749620992828e-06, ""Flow Duration"": -8.429018363861142e-06, ""Reconstruction Error"": 0.027418586247861046}}","{""Fwd Seg Size Min"": 0.4166666666666667, ""Protocol"": 0.3529411764705882, ""Init Bwd Win Byts"": 0.00335693359375}","{""Fwd Seg Size Min"": 20.006617, ""Protocol"": 6.000292, ""Init Bwd Win Byts"": 10851.82}",0.0116573159999252,DDOS attack-HOIC
"{""Fwd Seg Size Min"": {""Fwd Seg Size Min"": 0.0016568630271934935, ""Dst Port"": -4.055339904912532e-06, ""Protocol"": -2.4210745710257314e-06, ""Reconstruction Error"": 0.16656517221156894}, ""Protocol"": {""Bwd Pkts/s"": 0.00012862207991748266, ""Dst Port"": -5.064773890435579e-06, ""Protocol"": -4.346039360993234e-06, ""Reconstruction Error"": 0.11035489723425786}, ""Init Bwd Win Byts"": {""Bwd Pkt Len Std"": 0.00016990332591109217, ""Bwd Pkts/s"": 0.0001466852269528359, ""Pkt Len Max"": 0.00013362161565133723, ""Reconstruction Error"": 0.02741861092204166}}","{""Fwd Seg Size Min"": 0.4166666666666667, ""Protocol"": 0.3529411764705882, ""Init Bwd Win Byts"": 0.00335693359375}","{""Fwd Seg Size Min"": 20.006617, ""Protocol"": 6.0002913, ""Init Bwd Win Byts"": 10851.825}",0.011657595848986,DDOS attack-HOIC
"{""Fwd Seg Size Min"": {""Dst Port"": -7.466089390986338e-06, ""Protocol"": -9.809614113553754e-06, ""Flow Duration"": 9.368175172374733e-06, ""Reconstruction Error"": 0.16656517221156894}, ""Protocol"": {""Init Bwd Win Byts"": 0.004734383038928398, ""RST Flag Cnt"": 0.0031737232383241346, ""ECE Flag Cnt"": 0.003136268193626624, ""Reconstruction Error"": 0.11035491703474745}, ""Init Bwd Win Byts"": {""Bwd Pkts/s"": 0.00023169671182893194, ""Flow Pkts/s"": 0.00014100399622477564, ""Dst Port"": -8.599782527282749e-06, ""Reconstruction Error"": 0.02741861092204166}}","{""Fwd Seg Size Min"": 0.4166666666666667, ""Protocol"": 0.3529411764705882, ""Init Bwd Win Byts"": 0.00335693359375}","{""Fwd Seg Size Min"": 20.006617, ""Protocol"": 6.000292, ""Init Bwd Win Byts"": 10851.825}",0.0116574444630314,DDOS attack-HOIC
"{""Fwd Seg Size Min"": {""ECE Flag Cnt"": 0.01246571552132032, ""RST Flag Cnt"": 0.01246423523292797, ""Init Bwd Win Byts"": 0.0054754023336779575, ""Reconstruction Error"": 0.16656517221156894}, ""Protocol"": {""Init Bwd Win Byts"": 0.0036694836511070093, ""Dst Port"": 1.5871428766070688e-06, ""Protocol"": 8.41717343635687e-06, ""Reconstruction Error"": 0.11035491703474745}, ""Init Bwd Win Byts"": {""Flow Duration"": -9.280447144214832e-06, ""Tot Fwd Pkts"": 1.2091313000979346e-06, ""Tot Bwd Pkts"": 5.851333478057614e-06, ""Reconstruction Error"": 0.027418665205278095}}","{""Fwd Seg Size Min"": 0.4166666666666667, ""Protocol"": 0.3529411764705882, ""Init Bwd Win Byts"": 0.00335693359375}","{""Fwd Seg Size Min"": 20.006617, ""Protocol"": 6.000292, ""Init Bwd Win Byts"": 10851.836}",0.0116582417221113,DDOS attack-HOIC
"{""Fwd Seg Size Min"": {""Dst Port"": 1.28426427599319e-06, ""Protocol"": -1.1265809479341608e-06, ""Flow Duration"": -2.071464067496017e-06, ""Reconstruction Error"": 0.16656517221156894}, ""Protocol"": {""ECE Flag Cnt"": 0.004204196332319721, ""RST Flag Cnt"": 0.00416374177794665, ""FIN Flag Cnt"": 0.0016148016084280839, ""Reconstruction Error"": 0.11035491703474745}, ""Init Bwd Win Byts"": {""Dst Port"": 8.905549957395389e-07, ""Protocol"": -8.885805855047238e-06, ""Flow Duration"": 8.175409016778958e-06, ""Reconstruction Error"": 0.02741859118269628}}","{""Fwd Seg Size Min"": 0.4166666666666667, ""Protocol"": 0.3529411764705882, ""Init Bwd Win Byts"": 0.00335693359375}","{""Fwd Seg Size Min"": 20.006617, ""Protocol"": 6.000292, ""Init Bwd Win Byts"": 10851.821}",0.0116580494784949,DDOS attack-HOIC
"{""Fwd Seg Size Min"": {""Protocol"": 0.0007136020099820367, ""Dst Port"": 2.996559446245301e-07, ""Flow Duration"": -3.0738182852417714e-06, ""Reconstruction Error"": 0.16656517221156894}, ""Protocol"": {""Dst Port"": 2.947089404522729e-07, ""Protocol"": 2.081496254416243e-06, ""Flow Duration"": -8.373364105289782e-06, ""Reconstruction Error"": 0.11035491703474745}, ""Init Bwd Win Byts"": {""PSH Flag Cnt"": 0.003403972658638865, ""FIN Flag Cnt"": 0.0020688490139494802, ""Fwd Seg Size Min"": 0.0020240524194725497, ""Reconstruction Error"": 0.027418630661394147}}","{""Fwd Seg Size Min"": 0.4166666666666667, ""Protocol"": 0.3529411764705882, ""Init Bwd Win Byts"": 0.00335693359375}","{""Fwd Seg Size Min"": 20.006617, ""Protocol"": 6.000292, ""Init Bwd Win Byts"": 10851.828}",0.0116581322958286,DDOS attack-HOIC
"{""Fwd Seg Size Min"": {""Dst Port"": -4.923608320544711e-06, ""Protocol"": 9.092035501623323e-06, ""Flow Duration"": -7.860063705677524e-06, ""Reconstruction Error"": 0.16656517221156894}, ""Protocol"": {""PSH Flag Cnt"": 0.001383867793838145, ""Dst Port"": -4.356018496015131e-06, ""Protocol"": -5.721394743076951e-06, ""Reconstruction Error"": 0.11035491703474745}, ""Init Bwd Win Byts"": {""Dst Port"": 3.1972196888802548e-06, ""Protocol"": 5.845519304815314e-06, ""Flow Duration"": -6.32219671316611e-07, ""Reconstruction Error"": 0.027418630661394147}}","{""Fwd Seg Size Min"": 0.4166666666666667, ""Protocol"": 0.3529411764705882, ""Init Bwd Win Byts"": 0.00335693359375}","{""Fwd Seg Size Min"": 20.006617, ""Protocol"": 6.000292, ""Init Bwd Win Byts"": 10851.828}",0.011657541826609,DDOS attack-HOIC
"{""Fwd Seg Size Min"": {""Protocol"": -9.956882477777555e-06, ""Flow Duration"": 1.690976114135759e-07, ""Tot Fwd Pkts"": 1.5856496385838443e-06, ""Reconstruction Error"": 0.16656517221156894}, ""Protocol"": {""Active Max"": 0.00010424750829464805, ""Active Mean"": 9.70704715042585e-05, ""Active Min"": 9.500952195480773e-05, ""Reconstruction Error"": 0.11035491703474745}, ""Init Bwd Win Byts"": {""Dst Port"": -5.677337968965647e-06, ""Protocol"": 3.040098494430092e-06, ""Flow Duration"": -3.3255588293139393e-07, ""Reconstruction Error"": 0.02741861092204166}}","{""Fwd Seg Size Min"": 0.4166666666666667, ""Protocol"": 0.3529411764705882, ""Init Bwd Win Byts"": 0.00335693359375}","{""Fwd Seg Size Min"": 20.006617, ""Protocol"": 6.000292, ""Init Bwd Win Byts"": 10851.825}",0.0116574628836716,DDOS attack-HOIC
"{""Fwd Seg Size Min"": {""Bwd Pkts/s"": 0.0002466843644656716, ""Flow Pkts/s"": 0.00018067208203895825, ""Dst Port"": -2.2725480995689486e-06, ""Reconstruction Error"": 0.16656517221156894}, ""Protocol"": {""Bwd IAT Mean"": 0.00019386352906069224, ""Active Max"": 0.00011260034288831179, ""Active Mean"": 0.00010847467819222199, ""Reconstruction Error"": 0.11035491703474745}, ""Init Bwd Win Byts"": {""Bwd IAT Max"": 0.0004019278824370326, ""Bwd IAT Std"": 0.0002966023391858813, ""Dst Port"": -3.327590151826191e-07, ""Reconstruction Error"": 0.027418586247861046}}","{""Fwd Seg Size Min"": 0.4166666666666667, ""Protocol"": 0.3529411764705882, ""Init Bwd Win Byts"": 0.00335693359375}","{""Fwd Seg Size Min"": 20.006617, ""Protocol"": 6.000292, ""Init Bwd Win Byts"": 10851.82}",0.0116573477232158,DDOS attack-HOIC
"{""Fwd Seg Size Min"": {""Init Bwd Win Byts"": 0.004001477502481149, ""Bwd Pkt Len Std"": 0.00010689250809089654, ""Bwd Pkt Len Max"": 8.900778785090897e-05, ""Reconstruction Error"": 0.16656517221156894}, ""Protocol"": {""Dst Port"": -9.03247939923609e-07, ""Protocol"": -8.521519243054935e-06, ""Flow Duration"": 1.2372713894333879e-06, ""Reconstruction Error"": 0.11035491703474745}, ""Init Bwd Win Byts"": {""Init Bwd Win Byts"": 0.001989084065395098, ""Dst Port"": 5.538612049517562e-06, ""Protocol"": -2.3228411997385887e-06, ""Reconstruction Error"": 0.02741859118269628}}","{""Fwd Seg Size Min"": 0.4166666666666667, ""Protocol"": 0.3529411764705882, ""Init Bwd Win Byts"": 0.00335693359375}","{""Fwd Seg Size Min"": 20.006617, ""Protocol"": 6.000292, ""Init Bwd Win Byts"": 10851.821}",0.0116580494800347,DDOS attack-HOIC
"{""Fwd Seg Size Min"": {""Dst Port"": -7.179422480535334e-06, ""Protocol"": -3.6253336073990197e-06, ""Flow Duration"": -6.1972615283752976e-06, ""Reconstruction Error"": 0.16656517221156894}, ""Protocol"": {""Bwd IAT Std"": 0.00024944178534442554, ""Dst Port"": 2.5159841688095796e-06, ""Protocol"": -3.2982893956999266e-06, ""Reconstruction Error"": 0.11035489723425786}, ""Init Bwd Win Byts"": {""Dst Port"": -7.921541310354934e-06, ""Protocol"": 2.5260000556656154e-06, ""Flow Duration"": 9.166454602916804e-06, ""Reconstruction Error"": 0.02741861092204166}}","{""Fwd Seg Size Min"": 0.4166666666666667, ""Protocol"": 0.3529411764705882, ""Init Bwd Win Byts"": 0.00335693359375}","{""Fwd Seg Size Min"": 20.006617, ""Protocol"": 6.0002913, ""Init Bwd Win Byts"": 10851.825}",0.0116576047755598,DDOS attack-HOIC
"{""Fwd Seg Size Min"": {""Protocol"": 0.0006262631329985863, ""Dst Port"": 3.968536174353403e-06, ""Flow Duration"": 9.106293039796876e-06, ""Reconstruction Error"": 0.16656517221156894}, ""Protocol"": {""Dst Port"": 1.2221027906876977e-06, ""Protocol"": -7.814761611829623e-06, ""Flow Duration"": 3.063048114035884e-07, ""Reconstruction Error"": 0.11035489723425786}, ""Init Bwd Win Byts"": {""Dst Port"": 7.799772892413011e-06, ""Protocol"": -3.7531117013313043e-06, ""Flow Duration"": -8.638555187195146e-06, ""Reconstruction Error"": 0.02741861092204166}}","{""Fwd Seg Size Min"": 0.4166666666666667, ""Protocol"": 0.3529411764705882, ""Init Bwd Win Byts"": 0.00335693359375}","{""Fwd Seg Size Min"": 20.006617, ""Protocol"": 6.0002913, ""Init Bwd Win Byts"": 10851.825}",0.0116575617521229,DDOS attack-HOIC
"{""Fwd Seg Size Min"": {""Dst Port"": -5.3768668846814286e-06, ""Protocol"": -4.647772711923131e-06, ""Flow Duration"": 8.479285760357212e-06, ""Reconstruction Error"": 0.16656517221156894}, ""Protocol"": {""Dst Port"": -7.776110108221228e-06, ""Protocol"": -1.3845260541092854e-06, ""Flow Duration"": 6.220069248534149e-06, ""Reconstruction Error"": 0.11035491703474745}, ""Init Bwd Win Byts"": {""Dst Port"": 2.720842187354003e-07, ""Protocol"": 5.1979770601094335e-06, ""Flow Duration"": 7.453140040172356e-06, ""Reconstruction Error"": 0.027418665205278095}}","{""Fwd Seg Size Min"": 0.4166666666666667, ""Protocol"": 0.3529411764705882, ""Init Bwd Win Byts"": 0.00335693359375}","{""Fwd Seg Size Min"": 20.006617, ""Protocol"": 6.000292, ""Init Bwd Win Byts"": 10851.836}",0.0116585155805316,DDOS attack-HOIC
